count,ISO_COUNTRY_CODE,WIN_COUNTRY_CODE
158,AT,
2946,AT,AT
1,AT,CA
8,AT,CH
2,AT,CZ
126,AT,DE
2,AT,ES
5,AT,FR
2,AT,HU
1,AT,IE
21,AT,IT
9,AT,NL
3,AT,PL
2,AT,SE
1,AT,SI
1,AT,SK
5,AT,UK
1,AT,UY
782,BE,
10,BE,AT
5388,BE,BE
4,BE,BG
1,BE,CD
2,BE,CG
5,BE,CH
1,BE,CN
3,BE,CY
3,BE,CZ
120,BE,DE
10,BE,DK
1,BE,EE
19,BE,ES
2,BE,FI
95,BE,FR
10,BE,GR
1,BE,HK
3,BE,IE
34,BE,IT
2,BE,LT
22,BE,LU
93,BE,NL
3,BE,NO
1,BE,PR
2,BE,PT
2,BE,SE
1,BE,SI
71,BE,UK
4,BE,US
1,BE,ZA
53,BG,
5,BG,AT
7,BG,BE
4525,BG,BG
1,BG,BZ
5,BG,CH
1,BG,CY
6,BG,CZ
15,BG,DE
2,BG,EE
3,BG,ES
1,BG,FI
3,BG,FR
1,BG,GR
2,BG,HR
1,BG,HU
2,BG,IN
7,BG,IT
1,BG,LU
1,BG,RO
1,BG,TR
1,BG,UA
1,BG,UK
2,BG,US
1,CH,
11,CH,AT
2,CH,CA
816,CH,CH
1,CH,CY
62,CH,DE
1,CH,FI
5,CH,FR
2,CH,IE
1,CH,IN
6,CH,IT
1,CH,LI
1,CH,LU
3,CH,MD
5,CH,NL
1,CH,SE
3,CH,UK
3,CH,US
81,CY,
1,CY,AT
1,CY,BE
3,CY,CN
740,CY,CY
4,CY,DE
1,CY,DK
1,CY,ES
4,CY,FI
1,CY,FR
47,CY,GR
1,CY,HU
4,CY,IT
2,CY,RO
1,CY,SI
7,CY,UK
250,CZ,
4,CZ,AT
1,CZ,BE
1,CZ,CR
6113,CZ,CZ
22,CZ,DE
1,CZ,FI
6,CZ,FR
1,CZ,IE
1,CZ,IL
2,CZ,IT
5,CZ,NL
3,CZ,NO
1,CZ,PG
7,CZ,PL
1,CZ,PT
6,CZ,SK
5,CZ,UK
1,CZ,US
1930,DE,
1,DE,AE
76,DE,AT
12,DE,BE
1,DE,BG
3,DE,CA
29,DE,CH
1,DE,CZ
23343,DE,DE
11,DE,DK
14,DE,EE
15,DE,ES
10,DE,FI
29,DE,FR
1,DE,GI
7,DE,GR
3,DE,HK
2,DE,HR
16,DE,HU
4,DE,IE
17,DE,IT
3,DE,JP
1,DE,LK
1,DE,LT
8,DE,LU
46,DE,NL
2,DE,NO
1,DE,PK
1,DE,PL
1,DE,PT
2,DE,RU
8,DE,SE
1,DE,SZ
1,DE,UA
33,DE,UK
18,DE,US
1,DE,ZA
479,DK,
6,DK,AT
1,DK,AU
4,DK,BE
1,DK,CA
4,DK,CH
1,DK,CN
1,DK,CZ
17,DK,DE
3549,DK,DK
1,DK,EE
5,DK,FI
2,DK,FR
1,DK,GL
1,DK,GR
2,DK,IE
5,DK,IT
1,DK,LT
1,DK,LU
1,DK,LV
12,DK,NL
19,DK,NO
2,DK,NZ
3,DK,PL
1,DK,RO
1,DK,RU
62,DK,SE
24,DK,UK
3,DK,US
14,EE,
1,EE,AT
1,EE,CH
1,EE,CZ
9,EE,DE
3,EE,DK
719,EE,EE
1,EE,ES
15,EE,FI
3,EE,FR
1,EE,IL
1,EE,IT
2,EE,LT
3,EE,LV
3,EE,NL
2,EE,PL
3,EE,RU
2,EE,SE
1,EE,SI
4,EE,UK
8419,ES,
4,ES,BE
1,ES,CA
11,ES,DE
1,ES,DK
1,ES,EE
12986,ES,ES
3,ES,FI
26,ES,FR
2,ES,GR
4,ES,HR
6,ES,IE
28,ES,IT
2,ES,LT
1,ES,MA
8,ES,NL
2,ES,NO
3,ES,PT
14,ES,UK
3,ES,US
2268,FI,
3,FI,AT
4,FI,BE
1,FI,CA
4,FI,CH
1,FI,CZ
12,FI,DE
4,FI,DK
7,FI,EE
1,FI,ES
4019,FI,FI
3,FI,FR
1,FI,IE
2,FI,IN
1,FI,LT
1,FI,LV
2,FI,NL
4,FI,NO
19,FI,SE
1,FI,TR
9,FI,UK
2,FI,US
16611,FR,
1,FR,AO
